cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,key_resp_2.rt,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,47.74215700000059,None,space,84.22543310001493,47.74215700000059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5645407691009291,correct,"(-0.4, 0)",a,0,0,0,5,,,,,,,,,,,a,0.5507642000447959,134.56385279993992,None,132.01720329991076,None,132.01720329991076,None,132.01720329991076,None,134.06672299990896,134.81283469998743,134.56385279993992,134.66180989996064,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.8970076051360286,correct,"(0.4, 0)",l,0,1,1,20,,,,,,,,,,,l,0.47752469999250025,138.01839959993958,None,135.1353691999102,None,135.1353691999102,None,135.1353691999102,None,137.5097901999252,138.25742869998794,138.01839959993958,138.11647869995795,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.04779793183180647,incorrect,"(0.4, 0)",l,0,2,2,33,,,,,,,,,,,l,0.36269700003322214,140.5394523999421,None,138.51561419991776,None,138.51561419991776,None,138.51561419991776,None,140.04250719991978,140.79651319992263,140.5394523999421,140.64858559996355,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9478101236950716,correct,"(0.4, 0)",l,0,3,3,26,,,,,,,,,,,l,0.584888800047338,143.8557804999873,None,140.92196389997844,None,140.92196389997844,None,140.92196389997844,None,143.345525899902,144.0929571999004,143.8557804999873,143.95234059996437,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9010739803891251,incorrect,"(-0.4, 0)",a,0,4,4,11,,,,,,,,,,,a,0.4003096000524238,147.3400457999669,None,144.46290469996165,None,144.46290469996165,None,144.46290469996165,None,146.84226059995126,147.59052839991637,147.3400457999669,147.43666029989254,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6144709735635417,correct,"(0.4, 0)",l,0,5,5,29,,,,,,,,,,,l,0.33875829994212836,150.34660419996362,None,147.7580173999304,None,147.7580173999304,None,147.7580173999304,None,149.84825739997905,150.60067779989913,150.34660419996362,150.4431251999922,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.9206860483593494,incorrect,"(0.4, 0)",l,0,6,6,38,,,,,,,,,,,l,0.38921639998443425,153.6059884999413,None,150.70110299997032,None,150.70110299997032,None,150.70110299997032,None,153.09716209990438,153.84340729995165,153.6059884999413,153.7040379999671,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.23391027043498136,correct,"(-0.4, 0)",a,0,7,7,8,,,,,,,,,,,a,0.3368475999450311,156.2186839999631,None,154.0118938999949,None,154.0118938999949,None,154.0118938999949,None,155.72172109992243,156.47582189994864,156.2186839999631,156.32149289990775,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7669666969931148,correct,"(-0.4, 0)",a,0,8,8,9,,,,,,,,,,,a,0.3429988999851048,159.3271984999301,None,156.58131209993735,None,156.58131209993735,None,156.58131209993735,None,158.83052189997397,159.57558760000393,159.3271984999301,159.4242580999853,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.4499901342346745,incorrect,"(-0.4, 0)",a,0,9,9,12,,,,,,,,,,,a,0.3672094000503421,162.11482369992882,None,159.69154369994067,None,159.69154369994067,None,159.69154369994067,None,161.61776979989372,162.37339659989811,162.11482369992882,162.21219569991808,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.37307711698805524,incorrect,"(0.4, 0)",l,0,10,10,37,,,,,,,,,,,l,0.2899109999416396,164.86166169994976,None,162.50441169994883,None,162.50441169994883,None,162.50441169994883,None,164.35162679990754,165.09940809989348,164.86166169994976,164.95922839990817,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5922941594138551,correct,"(-0.4, 0)",a,0,11,11,4,,,,,,,,,,,a,0.33429020002949983,167.75221379997674,None,165.1783319999231,None,165.1783319999231,None,165.1783319999231,None,167.25399249990005,168.00606249994598,167.75221379997674,167.8500819999026,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.07901741602572421,incorrect,"(0.4, 0)",l,0,12,12,35,,,,,,,,,,,l,0.35182989994063973,170.16909489990212,None,168.10951799992472,None,168.10951799992472,None,168.10951799992472,None,169.67212789994664,170.41801289992873,170.16909489990212,170.27832439995836,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.3939797644424977,incorrect,"(-0.4, 0)",a,0,13,13,15,,,,,,,,,,,a,0.2978324999567121,172.91566109994892,None,170.54557729989756,None,170.54557729989756,None,170.54557729989756,None,172.41748399997596,173.16721230000257,172.91566109994892,173.01429259998258,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.38360493617076563,incorrect,"(-0.4, 0)",a,0,14,14,13,,,,,,,,,,,a,0.3996663000434637,175.59358639991842,None,173.23727589996997,None,173.23727589996997,None,173.23727589996997,None,175.09625649999361,175.84200699999928,175.59358639991842,175.70331419992726,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.2379684415492357,incorrect,"(-0.4, 0)",a,0,15,15,14,,,,,,,,,,,a,0.4811797000002116,178.23582079994958,None,176.01583809999283,None,176.01583809999283,None,176.01583809999283,None,177.72738699999172,178.47379239997827,178.23582079994958,178.33419939992018,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.9828471876315273,incorrect,"(0.4, 0)",l,0,16,16,30,,,,,,,,,,,l,0.4363267000298947,181.69012409995776,None,178.73350429988932,None,178.73350429988932,None,178.73350429988932,None,181.19313439994585,181.94479029998183,181.69012409995776,181.78775739995763,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7043933979083875,incorrect,"(0.4, 0)",l,0,17,17,39,,,,,,,,,,,l,0.46609470003750175,184.8237602999434,None,182.14482839999255,None,182.14482839999255,None,182.14482839999255,None,184.32628919999115,185.0732859999407,184.8237602999434,184.92229169991333,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7387684035985251,correct,"(-0.4, 0)",a,0,18,18,1,,,,,,,,,,,a,0.37574960000347346,188.03661249997094,None,185.3113276999211,None,185.3113276999211,None,185.3113276999211,None,187.53233550000004,188.28595069993753,188.03661249997094,188.13338959997054,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.7025707610448116,correct,"(0.4, 0)",l,0,19,19,28,,,,,,,,,,,l,0.4267060999991372,191.1202151000034,None,188.43566109996755,None,188.43566109996755,None,188.43566109996755,None,190.61406429996714,191.37020469992422,191.1202151000034,191.21826349990442,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.19704960639573776,incorrect,"(-0.4, 0)",a,0,20,20,16,,,,,,,,,,,a,0.33131529996171594,193.74499429995194,None,191.57606039999519,None,191.57606039999519,None,191.57606039999519,None,193.24743039999157,194.00557669997215,193.74499429995194,193.84901339991484,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9127004317251198,incorrect,"(-0.4, 0)",a,0,21,21,19,,,,,,,,,,,a,0.39069180004298687,196.9866918999469,None,194.09797449992038,None,194.09797449992038,None,194.09797449992038,None,196.4903178999666,197.23545899998862,196.9866918999469,197.09401639993303,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.4283499593741631,correct,"(0.4, 0)",l,0,22,22,24,,,,,,,,,,,l,0.6307195000117645,199.80536099988967,None,197.39920749992598,None,197.39920749992598,None,197.39920749992598,None,199.30813919997308,200.0642807999393,199.80536099988967,199.90399669995531,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.993881262689159,correct,"(0.4, 0)",l,0,23,23,27,,,,,,,,,,,l,0.3674568000715226,203.42910809989553,None,200.45905429997947,None,200.45905429997947,None,200.45905429997947,None,202.93211909988895,203.67789949988946,203.42910809989553,203.53475759993307,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.2976392595268207,incorrect,"(0.4, 0)",l,0,24,24,31,,,,,,,,,,,l,0.43781619996298105,206.0911114999326,None,203.8145679999143,None,203.8145679999143,None,203.8145679999143,None,205.59263499989174,206.34180379996542,206.0911114999326,206.18989209993742,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.39625884761736807,correct,"(0.4, 0)",l,0,25,25,23,,,,,,,,,,,l,0.5369169999612495,208.9261946999468,None,206.54761659994256,None,206.54761659994256,None,206.54761659994256,None,208.41813389991876,209.1627359999111,208.9261946999468,209.02400219999254,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6423195276025604,correct,"(0.4, 0)",l,0,26,26,21,,,,,,,,,,,l,0.41750710003543645,212.107733599958,None,209.48461399995722,None,209.48461399995722,None,209.48461399995722,None,211.59886199992616,212.34513619996142,212.107733599958,212.2086347999284,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.02396326924047798,correct,"(-0.4, 0)",a,0,27,27,7,,,,,,,,,,,a,0.4345449000829831,214.5511586999055,None,212.55044579994865,None,212.55044579994865,None,212.55044579994865,None,214.05318009993061,214.80849189998116,214.5511586999055,214.65062929992564,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.28340262260056537,correct,"(-0.4, 0)",a,0,28,28,3,,,,,,,,,,,a,0.43893159995786846,217.2722845999524,None,215.0042500999989,None,215.0042500999989,None,215.0042500999989,None,216.76246040000115,217.5074077999452,217.2722845999524,217.37197399989236,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7866571383694275,correct,"(-0.4, 0)",a,0,29,29,2,,,,,,,,,,,a,0.4271573999430984,220.49579369998537,None,217.73274079989642,None,217.73274079989642,None,217.73274079989642,None,219.99853569990955,220.75336749991402,220.49579369998537,220.59463680000044,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.7311452878836484,correct,"(0.4, 0)",l,0,30,30,25,,,,,,,,,,,l,1.0296946000307798,223.65298619994428,None,220.9464578999905,None,220.9464578999905,None,220.9464578999905,None,223.163574499893,223.9108115999261,223.65298619994428,223.75073749991134,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.29956714904652626,incorrect,"(0.4, 0)",l,0,31,31,36,,,,,,,,,,,a,1.3229201999492943,226.9870478999801,None,224.70789439999498,None,224.70789439999498,None,224.70789439999498,None,226.48320559994318,227.23040649993345,226.9870478999801,227.0864349999465,,,,,,,,,,,,,,,,,001,2021_Dec_01_1404,cueing,2021.2.3,None,
