cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,20.554749200004153,None,space,16.691125700017437,20.554749200004153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.9828471876315273,incorrect,"(0.4, 0)",l,0,0,0,30,,,,,,,,,,,None,40.257180299959145,None,37.29084919998422,44.28723550005816,37.29084919998422,44.28723550005816,37.29084919998422,44.28723550005816,39.74730849999469,40.49931009998545,40.257180299959145,40.35703910002485,,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.2976392595268207,incorrect,"(0.4, 0)",l,0,1,1,31,,,,,,,,,,,None,49.53575100004673,47.259710900019854,47.259710900019854,54.2620383000467,47.259710900019854,54.2620383000467,47.259710900019854,54.2620383000467,49.03334470000118,49.78485599998385,49.53575100004673,49.63916899997275,,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7043933979083875,incorrect,"(0.4, 0)",l,0,2,2,39,,,,,,,,,,,None,59.21404470002744,56.53719040006399,56.53719040006399,63.54066319996491,56.53719040006399,63.54066319996491,56.53719040006399,63.54066319996491,58.71773429994937,59.46855820005294,59.21404470002744,59.31237749999855,,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.4283499593741631,correct,"(0.4, 0)",l,0,3,3,24,,,,,,,,,,,l,68.62651450000703,66.21576020005159,66.21576020005159,None,66.21576020005159,None,66.21576020005159,None,68.11626739997882,68.86870049999561,68.62651450000703,68.72562829998787,0.6487784000346437,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.37307711698805524,incorrect,"(0.4, 0)",l,0,4,4,37,,,,,,,,,,,l,71.6497231000103,None,69.30388679995667,None,69.30388679995667,None,69.30388679995667,None,71.15272040001582,71.90529370005243,71.6497231000103,71.75854940002318,0.7702216999605298,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7866571383694275,correct,"(-0.4, 0)",a,0,5,5,2,,,,,,,,,,,None,75.20776619995013,None,72.44546249997802,79.44418950006366,72.44546249997802,79.44418950006366,72.44546249997802,79.44418950006366,74.70453900005668,75.46158650005236,75.20776619995013,75.30683490005322,,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.04779793183180647,incorrect,"(0.4, 0)",l,0,6,6,33,,,,,,,,,,,l,84.23758600000292,82.2159687000094,82.2159687000094,None,82.2159687000094,None,82.2159687000094,None,83.74044309998862,84.48803110001609,84.23758600000292,84.33446990000084,0.40279379999265075,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.7311452878836484,correct,"(0.4, 0)",l,0,7,7,25,,,,,,,,,,,l,87.37087650003377,None,84.65642729995307,None,84.65642729995307,None,84.65642729995307,None,86.86148089997005,87.6077219999861,87.37087650003377,87.46992010006215,0.3640003999462351,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.9206860483593494,incorrect,"(0.4, 0)",l,0,8,8,38,,,,,,,,,,,l,90.6503865000559,None,87.75189269997645,None,87.75189269997645,None,87.75189269997645,None,90.15222529997118,90.90511199994944,90.6503865000559,90.74789680005051,0.30525249999482185,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7701712865549922,incorrect,"(0.4, 0)",l,0,9,9,34,,,,,,,,,,,l,93.73480610002298,None,90.98273000004701,None,90.98273000004701,None,90.98273000004701,None,93.22553010005504,93.97316709998995,93.73480610002298,93.83207470003981,0.22961759997997433,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.7025707610448116,correct,"(0.4, 0)",l,0,10,10,28,,,,,,,,,,,l,96.66942469996866,None,93.98922910005786,None,93.98922910005786,None,93.98922910005786,None,96.17035579995718,96.91635720001068,96.66942469996866,96.77168720006011,0.32497840002179146,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9478101236950716,correct,"(0.4, 0)",l,0,11,11,26,,,,,,,,,,,l,99.95301669999026,None,97.01985899999272,None,97.01985899999272,None,97.01985899999272,None,99.45040990004782,None,99.95301669999026,100.05182289995719,0.09052730002440512,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.38360493617076563,incorrect,"(-0.4, 0)",a,0,12,12,13,,,,,,,,,,,a,102.43119979999028,None,100.06711020006333,None,100.06711020006333,None,100.06711020006333,None,101.9338041000301,102.68618389999028,102.43119979999028,102.52999559999444,0.7454972000559792,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5922941594138551,correct,"(-0.4, 0)",a,0,13,13,4,,,,,,,,,,,a,105.77683109999634,None,103.20073449995834,None,103.20073449995834,None,103.20073449995834,None,105.2676762000192,106.01458319998346,105.77683109999634,105.87505539995618,0.31651560007594526,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5469701378611879,incorrect,"(0.4, 0)",l,0,14,14,32,,,,,,,,,,,l,108.6431617999915,None,106.11681200005114,None,106.11681200005114,None,106.11681200005114,None,108.1464302999666,108.89408530003857,108.6431617999915,108.7456375999609,0.2710932999616489,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.23391027043498136,correct,"(-0.4, 0)",a,0,15,15,8,,,,,,,,,,,a,111.1520920000039,None,108.93519220000599,None,108.93519220000599,None,108.93519220000599,None,110.64296119997744,111.39456020004582,111.1520920000039,111.25058180000633,0.3253432000055909,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9706793863527535,incorrect,"(-0.4, 0)",a,0,16,16,10,,,,,,,,,,,l,114.45514129998628,None,111.49862059997395,None,111.49862059997395,None,111.49862059997395,None,113.94795509998221,114.7033839999931,114.45514129998628,114.55908110004384,2.1356351000722498,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.02396326924047798,correct,"(-0.4, 0)",a,0,17,17,7,,,,,,,,,,,a,118.60849340003915,None,116.60684919997584,None,116.60684919997584,None,116.60684919997584,None,118.11045719997492,118.86321069998667,118.60849340003915,118.71099020005204,0.3398092999123037,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7669666969931148,correct,"(-0.4, 0)",a,0,18,18,9,,,,,,,,,,,a,121.7094162000576,None,118.96404590003658,None,118.96404590003658,None,118.96404590003658,None,121.21233690006193,121.95825979998335,121.7094162000576,121.80687029997353,0.6584836000110954,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5645407691009291,correct,"(-0.4, 0)",a,0,19,19,5,,,,,,,,,,,a,124.92922060005367,None,122.38307910005096,None,122.38307910005096,None,122.38307910005096,None,124.4304901000578,None,124.92922060005367,125.02726600004826,0.24411359999794513,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.8970076051360286,correct,"(0.4, 0)",l,0,20,20,20,,,,,,,,,,,None,128.0678417000454,None,125.18837220000569,132.1889253000263,125.18837220000569,132.1889253000263,125.18837220000569,132.1889253000263,127.57161870005075,128.32300049997866,128.0678417000454,128.16742299997713,,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7056869244497335,correct,"(-0.4, 0)",a,0,21,21,0,,,,,,,,,,,a,137.75841210002545,135.06943350005895,135.06943350005895,None,135.06943350005895,None,135.06943350005895,None,137.24823360005394,137.99528889998328,137.75841210002545,137.85564399999566,0.4089397999923676,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.07901741602572421,incorrect,"(0.4, 0)",l,0,22,22,35,,,,,,,,,,,a,140.24931240000296,None,138.19363810005598,None,138.19363810005598,None,138.19363810005598,None,139.75207309995312,140.4997788000619,140.24931240000296,140.34775489999447,0.5209883999777958,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9010739803891251,incorrect,"(-0.4, 0)",a,0,23,23,11,,,,,,,,,,,a,143.66648490005173,None,140.78897059999872,None,140.78897059999872,None,140.78897059999872,None,143.16943480004556,143.9212462999858,143.66648490005173,143.76452329999302,0.6168243000283837,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.19704960639573776,incorrect,"(-0.4, 0)",a,0,24,24,16,,,,,,,,,,,l,146.47898809995968,None,144.30246070004068,None,144.30246070004068,None,144.30246070004068,None,145.98152809997555,146.73438799998257,146.47898809995968,146.5755198999541,0.9256034001009539,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.4499901342346745,incorrect,"(-0.4, 0)",a,0,25,25,12,,,,,,,,,,,l,149.85494099999778,None,147.43034059996717,None,147.43034059996717,None,147.43034059996717,None,149.35720930004027,150.1115020000143,149.85494099999778,149.95467670005746,0.9614479000447318,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.42702221127828477,correct,"(-0.4, 0)",a,0,26,26,6,,,,,,,,,,,l,153.24418469995726,None,150.83971169998404,None,150.83971169998404,None,150.83971169998404,None,152.7449427000247,153.496913400013,153.24418469995726,153.3449743000092,0.48005489993374795,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.3939797644424977,incorrect,"(-0.4, 0)",a,0,27,27,15,,,,,,,,,,,l,156.1225142000476,None,153.74293760000728,None,153.74293760000728,None,153.74293760000728,None,155.61999629996717,156.37039629998617,156.1225142000476,156.22037929994985,0.5973426999989897,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.993881262689159,correct,"(0.4, 0)",l,0,28,28,27,,,,,,,,,,,l,159.7206898999866,None,156.74724549998064,None,156.74724549998064,None,156.74724549998064,None,159.21769269998185,159.96615640004165,159.7206898999866,159.8209619000554,0.5070000999839976,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.3779252118559099,incorrect,"(-0.4, 0)",a,0,29,29,17,,,,,,,,,,,l,162.60599299997557,None,160.24333970004227,None,160.24333970004227,None,160.24333970004227,None,162.09632290003356,162.84784990001936,162.60599299997557,162.7051109999884,0.4850960000185296,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.39625884761736807,correct,"(0.4, 0)",l,0,30,30,23,,,,,,,,,,,l,165.48429509997368,None,163.11465350002982,None,163.11465350002982,None,163.11465350002982,None,164.98748480004724,165.741662299959,165.48429509997368,165.58233620005194,0.27932610001880676,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6144709735635417,correct,"(0.4, 0)",l,0,31,31,29,,,,,,,,,,,l,168.381971099996,None,165.7820016000187,None,165.7820016000187,None,165.7820016000187,None,167.87193190003745,None,168.381971099996,168.4792900000466,0.10901619994547218,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.18359352140224616,incorrect,"(-0.4, 0)",a,0,32,32,18,,,,,,,,,,,a,170.67835189995822,None,168.50947519997135,None,168.50947519997135,None,168.50947519997135,None,170.16926929994952,170.9179677000502,170.67835189995822,170.7782347999746,0.27822430001106113,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.28340262260056537,correct,"(-0.4, 0)",a,0,33,33,3,,,,,,,,,,,a,173.24788739997894,None,170.9829272000352,None,170.9829272000352,None,170.9829272000352,None,172.75093390000984,173.49981930002104,173.24788739997894,173.34547609998845,0.3425506000639871,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6591262849764731,correct,"(0.4, 0)",l,0,34,34,22,,,,,,,,,,,l,176.24788140004966,None,173.6119612000184,None,173.6119612000184,None,173.6119612000184,None,175.7511195000261,None,176.24788140004966,176.35025560006034,0.09382249996997416,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.29956714904652626,incorrect,"(0.4, 0)",l,0,35,35,36,,,,,,,,,,,a,178.6488667000085,None,176.3649180000648,None,176.3649180000648,None,176.3649180000648,None,178.13881539995782,178.88762080005836,178.6488667000085,178.74802289996296,0.36631900002248585,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.2379684415492357,incorrect,"(-0.4, 0)",a,0,36,36,14,,,,,,,,,,,l,181.2603295999579,None,179.04153819999192,None,179.04153819999192,None,179.04153819999192,None,180.7626268999884,None,181.2603295999579,181.36026019998826,0.21236830006819218,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7387684035985251,correct,"(-0.4, 0)",a,0,37,37,1,,,,,,,,,,,a,184.2171564999735,None,181.4939695999492,None,181.4939695999492,None,181.4939695999492,None,183.70801289996598,184.45466980000492,184.2171564999735,184.31758559995797,0.3461311999708414,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9127004317251198,incorrect,"(-0.4, 0)",a,0,38,38,19,,,,,,,,,,,l,187.48361780005507,None,184.58858810004313,None,184.58858810004313,None,184.58858810004313,None,186.97544910002034,None,187.48361780005507,187.58167480002157,0.14355689997319132,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6423195276025604,correct,"(0.4, 0)",l,0,39,39,21,,,,,,,,,,,l,190.2656704999972,None,187.6479806000134,None,187.6479806000134,None,187.6479806000134,None,189.76861450006254,190.51754949998576,190.2656704999972,190.362538699992,0.26480100001208484,,,,,,,,,,,,,,,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
exo,,"(0.4, 0)",0.843533813309906,incorrect,"(-0.4, 0)",a,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,a,0.3861365000484511,193.03755660005845,None,190.61519369995221,None,190.61519369995221,None,190.61519369995221,None,192.92671999998856,193.02471779996995,193.03755660005845,193.13301180000417,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
exo,,"(-0.4, 0)",0.1204646432692501,correct,"(-0.4, 0)",a,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,l,1.1335730999708176,195.14432339998893,None,193.44776130001992,None,193.44776130001992,None,193.44776130001992,None,195.0482848000247,195.14432339998893,195.14432339998893,195.23926950001623,,,005,2021_Dec_01_1436,cueing,2021.2.3,None,
